Inocencia.mp3
-50.00	0.00	25
3248.770020	3267.050049	1828
3533.870117	3550.739990	1686
1817.119995	1833.400024	1628
4673.799805	4689.549805	1575
6459.759766	6474.290039	1452
2800.500000	2814.219971	1371
4226.790039	4239.930176	1314
2309.610107	2321.500000	1189
1804.250000	1816.030029	1177
7325.799805	7337.319824	1151
6445.370117	6456.709961	1134
6430.220215	6440.930176	1071
2141.100098	2151.620117	1051
5096.669922	5107.089844	1042
6254.549805	6264.080078	952
6529.850098	6539.250000	940
6174.299805	6183.470215	917
2467.570068	2476.739990	916
6667.100098	6676.240234	913
6506.970215	6515.870117	889
2548.399902	2556.909912	850
7087.669922	7096.109863	843
2536.590088	2544.969971	837
1524.709961	1532.810059	809
6608.450195	6616.240234	778
2697.010010	2704.790039	777
1580.589966	1588.319946	772
3015.149902	3022.729980	758
2773.179932	2780.699951	751
2275.989990	2283.459961	747
1258.729980	1266.150024	742
6098.200195	6105.620117	741
7028.810059	7036.229980	741
6634.470215	6641.859863	738
1891.910034	1899.150024	724
3498.500000	3505.709961	721
6210.839844	6218.049805	721
2298.510010	2305.669922	715
7062.200195	7069.330078	712
7539.350098	7546.430176	708
4218.799805	4225.850098	705
3267.939941	3274.989990	704
37.139999	44.169998	703
5927.470215	5934.439941	696
424.410004	431.250000	684
448.470001	455.309998	684
7338.729980	7345.580078	684
3287.479980	3294.040039	655
7577.359863	7583.859863	649
7054.129883	7060.580078	644
2057.580078	2063.929932	634
6540.009766	6546.310059	630
3360.540039	3366.790039	624
6265.359863	6271.600098	624
5426.490234	5432.729980	623
3968.330078	3974.550049	622
4918.149902	4924.359863	621
3844.719971	3850.909912	618
6020.100098	6026.259766	616
3184.219971	3190.300049	608
1762.890015	1768.819946	592
5547.100098	5553.029785	592
5637.270020	5643.200195	592
6146.060059	6151.959961	590
1753.910034	1759.810059	589
5125.089844	5130.990234	589
1311.189941	1317.060059	586
787.460022	793.280029	581
1298.699951	1304.500000	580
6651.419922	6657.200195	577
2034.650024	2040.369995	571
5471.259766	5476.930176	567
3297.300049	3302.939941	564
